movies & series
"Drama de fantasía protagonizada por Robert Pattinson y Kristen Stewart. Después de regresar de su Luna de miel, Bella y Edward se sorprenden al descubrir que están esperando un bebé. Las cosas pronto empeorarán, ya que el embarazo pone en riesgo la salud de Bella y la manada de lobos, que ven al niño por nacer como una"
Ver Cuenta regresiva online
2009
121 MIN
"Un maestro abre una cápsula del tiempo que ha sido desenterrada en la escuela primaria de su hijo, en ella hay algunas predicciones escalofriantes, algunas que ya han ocurrido y otras que están a punto de ocurrir, que le llevan a creer que su familia juega un papel en los acontecimientos que están a punto de desarrollarse."
Ver De Tyler Perry: Las niñas de papá online
2007
100 MIN
"Una historia opuesta a la de Cenicienta, en la que una exitosa abogada (Union) se enamora de un mecánico (Elba) con problemas financieros y padre soltero de tres niñas."
Ver De Tyler Perry: ¿Por qué nos casamos? online
2007
118 MIN
"Un grupo de amigos universitarios casados van a Colorado para su reunión anual de una semana. Superficialmente, parece que será como todas las reuniones anteriores que han tenido a lo largo de los años, pero el ánimo cambia cuando la infidelidad de una pareja sale a la luz."
Ver Divergente la serie: Leal online
2016
120 MIN
"La tercera parte de este blockbuster Divergente la Serie: Leal lleva a Tris y a Cuatro a un nuevo mundo . Después de las revelaciones en insurgente, Tris debe escapar con Cuatro e ir más allá de la pared que encierra a chicago."
Ver Dredd online
2012
95 MIN
"Una prostituta convertida en narcotraficante pretende apoderarse de la futurista ciudad de Mega City One. El juez Dredd, el principal miembro de una fuerza policial de élite, es la última esperanza de la ciudad."
Ver El gringo online
2012
98 MIN
Un hombre es emboscado en una ciudad fronteriza mexicana llena de gángsters con una bolsa llena de dinero robado y debe encontrar la manera de mantenerse con vida hasta que pueda salir.
Ver Empire State el gran robo del Bronx online
2013
94 MIN
"Un guardia de seguridad es convencido por su imprudente mejor amigo de robar la compañía para la cual trabaja, junto a una violenta banda criminal y un duro detective en su camino...¿Podrán escaparse de la cárcel o de un destino peor?"
Ver Ghost Rider - El vengador fantasma online
2007
110 MIN
"Basado en el personaje de Marvel, el piloto de motos acróbata Johnny Blaze vende su alma para convertirse en vigilante y luchar contra el ambicioso Blackheart, hijo del demonio."
Ver Golpe en londres online
2017
95 MIN
"Un atraco a un banco sale mal y alguien es asesinado, pero las cosas pueden no ser lo que parecen."
Ver Hellraiser: Juicio online
2018
81 MIN
Tres detectives intentan resolver un asesinato diabólico que los arrastra a las profundidades del infierno en esta próxima edición de la clásica serie HELLRAISER.
Ver Hermanastros online
2008
97 MIN
"Brennan Huff es un trabajador eventual de 39 años que vive con su madre, Nancy. Dale Doback es un desempleado crónico de 40 años que vive con su padre, Robert."
Ver Jigsaw: El juego continúa online
2017
91 MIN
"Cadáveres se han estado apareciendo por toda la ciudad. Conforme la investigación avanza, las evidencias indican hacia un hombre: John Kramer. Pero ¿cómo puede ser esto? El hombre conocido como Jigsaw ha estado muerto por más de diez años."
Ver Ladrones online
2015
97 MIN
El legendario ladrón Alejandro Toledo regresa a sus raíces con un nuevo socio para reclamar tierras robadas a una comunidad humilde por una despiadada familia de ladrones.
Ver La Guardería de Papá online
2003
92 MIN
"Cuando los ejecutivos publicitarios Charlie y Phil pierden su trabajo intentando vender un cereal de desayuno con sabor a verduras, se convierten en los propietarios de la guardería Papá Canguro."
Ver La La Land: Una historia de amor online
2016
127 MIN
"Emma Stone y Ryan Gosling la protagonizan como Mia y Sebastian, una actriz y un músico de jazz que buscan alcanzar sus sueños en Hollywood y se encuentran uno al otro en una animada celebración de esperanza, sueños y amor."
Ver La maldición online
2004
91 MIN
Karen es una enfermera estadounidense que vive en Tokio y está expuesta a una misteriosa maldición sobrenatural. La maldición es un espíritu vengativo que posee a una persona en una rabia poderosa antes de reclamar su vida.
Ver La redada online
2012
101 MIN
"En el corazón de la poblada ciudad de Jakarta está el escondite de una pandilla de traficantes. Antes de amanecer un escuadrón de S.W.A.T llega para atrapar al líder, pero cuando la noticia de la redada se esparce, los habitantes del edificio no se detendrán para impedir el asalto y el escuadrón deberá encontrar la salida en"
Ver Las ventajas de ser invisible online
2012
102 MIN
"Drama protagonizado por Emma Watson y Ezra Miller, basado en la novela de Stephen Chbosky. Charlie siempre ha sido un introvertido, pero es forzado a salir de las sombras cuando conoce a Sam y a su hermanastro amante de la aventura Patrick. Juntos, el trío inicia un viaje de descubrimiento mientras exploran el amor, la"
Ver Los Cazafantasmas online
1984
105 MIN
"Un trío de parapsicólogos universitarios pierde su subsidio de investigación y decide abrir su propio negocio, ""Los Cazafantasmas"", y casi de inmediato son convocados para investigar los extraños sucesos en un departamento de Central Park West. Lo que descubren es que toda Manhattan está siendo asediada por otros demonios"
Ver Los mensajeros online
2007
90 MIN
"Una siniestra oscuridad invade una serena granja de girasoles en Dakota del Norte, y la familia Solomon está destrozada por la sospecha, el caos y el asesinato."
Ver Lugares oscuros online
2015
113 MIN
"Charlize Theron, Nicholas Hoult, Cholë Grace Moretz y Christina Hendricks protagonizan este thriller de misterio, basado en la novela de Gillian Flynn (Perdida)."
Ver Pánico en altamar online
2006
94 MIN
"Un grupo de viejos amigos se encuentran para una reunión a bordo de un yate de lujo, pero el evento se convierte en una pesadilla cuando se lanzan al mar a nadar sin primero bajar la escalera."
Ver Peligro en Bangkok online
2008
99 MIN
"Joe (Nicolas Cage) es un asesino profesional que llega a Bangkok para atender algunos asuntos. Inesperadamente se encuentra entrenando a una joven alumna. Luego, se enamora de una mujer que no tiene conocimiento de su verdadero trabajo."
Ver Piedras online
2002
135 MIN
"En la vida, primero alineamos piedras grandes, como amor, amistad, familia y carrera. Las cinco protagonistas de esta película son mujeres que no han podido alinear las “piedras” grandes en sus vidas."
Ver Recuérdame online
2010
112 MIN
"Una joven estudiante con problemas se enamora de una chica después de un encuentro casual. Ambos llegan aceptan sus tragedias personales que ayudan a sanar entre sí, pero pronto la verdad detrás de su encuentro amenaza con poner fin a su relación."
Ver RED: Retirados Extremadamente Duros online
2010
111 MIN
"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del misterioso enemigo."
Ver Repugnante online
2014
97 MIN
"Un oficial de policía drogadicto planea arruinar las posibilidades de ascenso de sus colegas por cualquier medio, incluyendo contar secretos y seducir a sus esposas. Basado en la novela de Irvine Welsh."
Ver Resucitados online
2015
83 MIN
"Un equipo de estudiantes de investigación está haciendo un mapa del cerebro humano, cuando accidentalmente matan a uno de ellos. El resto, al intentar reanimar a su colega, desatarán una fuerza letal. Luchando por sus vidas, el equipo deberá contener al recién vuelto a la vida en el laboratorio antes de que se entere en el"
Ver Testigo de cargo online
2017
117 MIN
"La historia está ambientada en el Londres de la década de 1920 y se centra en un asesinato, ""brutal y sanguinario"", que ha ""manchado las lujosas alfombras de una hermosa casa de Londres""."
Ver 12 Horas online
2012
94 MIN
"Hace un año, Jill Parrish sobrevivió al secuestro de un asesino en serie. Cuando llega a casa luego de un turno nocturno descubre que su hermana Molly ha sido secuestrada, y está convencida de que el mismo asesino en serie ha vuelto por su hermana."
Ver A conseguir trabajo online
2016
82 MIN
"Cuando Will se queda sin trabajo y a Jillian la despiden, la joven pareja y sus amigos deben soportar la humillación pública, novatadas y pruebas de dopaje sorpresa para poder iniciar sus carreras como principiantes."
Ver Ali online
2001
156 MIN
"Basada en la vida del tan controvertido, pero indiscutiblemente electrizante boxeador, Muhammad Ali."
Ver Alquiler de padrinos online
2015
101 MIN
Una comedia acerca de un hombre que no tiene amigos y la amistad que entabla con la persona que contrata para que sea su padrino de bodas.
Ver American Pie: Tu primera vez online
1999
95 MIN
"¡Jamás volverá a ver un pastel de manzana igual! ""American Pie"" es una visión histérica de la meta de cuatro amigos de secundaria ""desafortunados en el amor"" que hacen el pacto final: perder la virginidad la noche del baile de graduación."
Ver Asesino: Misión venganza online
2017
111 MIN
"Stan Hurley, un veterano de la Guerra Fría, recluta y entrena a Mitch Rapp, cuya novia murió en un ataque terrorista. Con la colaboración de una letal agente turca, los tres deberán detener a un grupo terrorista antes de que inicien una guerra"
Ver Baile caliente online
1987
100 MIN
"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se enamoran a pesar de las advertencias de todos."
Ver Belly online
1998
95 MIN
Dos mafiosos tienen una epifanía.
Ver Best F(r)iends: Volume 1 online
2018
103 MIN
"El dúo dinámico detrás de THE ROOM y THE DISASTER ARTIST (Tommy Wiseau y Greg Sestero) vuelven a encontrarse después de 15 años en este nuevo clásico de culto. Cuando un vagabundo (Sestero) se hace amigo del extravagante encargado de una funeraria (Wiseau), se forma una rara sociedad comercial. Esto pronto da lugar a la"
Ver Best F(r)iends: Volume Two online
2018
93 MIN
"Un vagabundo se hace amigo de un extravagante director de funeraria, y pronto, forman una sociedad, aunque una que poco tiene de comercial. La locura no tarda en surgir, pero estos hombres se verán forzados a sobrellevar las cosas a través de la amistad y la lealtad."
Ver Capitán Phillips online
2013
134 MIN
El capitán Richard Phillips intenta escapar de piratas armados somalíes mientras que la Marina de los Estados Unidos trata de rescatarlo.
Ver Cartas a Julieta online
2010
105 MIN
"Mientras está de vacaciones en Verona, Sophie se encuentra con una ""carta a Julieta"" y se embarca en una misión para encontrar a su autor."
Ver Crepúsculo la saga: Amanecer – Parte 2 online
2012
115 MIN
"En el quinto y último capítulo de la saga de Crepúsculo, el nacimiento del hijo de Bella y Edward enciende las fuerzas que amenazan con destruirlos a todos. Ahora, los Cullen deben conseguir la ayuda de amigos lejanos y antiguos enemigos, incluyendo la manada de lobos de Jacob, mientras las tensiones parecen dirigirse hacia"
Ver Crímenes de lujuria online
2011
89 MIN
"Rebeca y Arturo encuentran pasión el uno en el otro - y quizá hasta el amor. Pero sobre todo, tienen una oportunidad: Rebeca quiere asesinar a su esposo y cobrar el seguro, mientras que Arturo podrá poseer a la mujer de sus sueños y todo su dinero."
Ver Cubos online
1997
90 MIN
"Un grupo de seis completos extraños, de personalidades y orígenes muy variados, son puestos involuntariamente en un laberinto interminable que contiene trampas mortales. Sin recordar cómo llegaron al laberinto, deben encontrar una salida."
Ver Decisión final online
2014
109 MIN
"En el día del Draft de la NFL, el gerente general de los Cafés de Cleveland debe decidir que es lo que está dispuesto a sacrificar mientras busca al seleccionado número uno."
Ver De Tyler Perry: El club de las madres solteras online
2014
111 MIN
"Cinco madres solteras en problemas dejan de lado sus diferencias para formar un grupo de apoyo, hallan inspiración y humor en su nueva hermandad y se ayudan mutuamente para superar los obstáculos que enfrentan."
Ver De Tyler Perry: ¿Por qué me casé también? online
2010
120 MIN
"Con el mismo elenco carismático de la exitosa comedia dramática, ""¿Por qué me casé?"", Tyler Perry nos trae el siguiente capítulo en la vida de ocho amigos de la universidad que luchan con los desafíos de la vida conyugal en: ""¿Por qué me casé también?"""
Ver De Tyler Perry Tentación: Confesiones de una consejera matrimonial online
2013
111 MIN
"Judith es una mujer trabajadora que está en un matrimonio amoroso pero sin pasión. Conoce a un hombre atractivo y extremadamente rico que la seduce para embarcarse en un amorío candente, pero después de que las cosas toman una serie de giros dramáticos ella encuentra que su vida cambió para siempre."
Ver Dioses de Egipto online
2016
127 MIN
"Bek, un héroe mortal, se une al dios Horus en una alianza contra Set, el despiadado dios de las tinieblas, que ha usurpado el trono de Egipto, sumiendo a un imperio que una vez fue pacífico y próspero en el caos y el conflicto."
Ver Divergente online
2014
139 MIN
"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la verdad sobre sí misma."
Ver Divergente la serie: Insurgente online
2015
118 MIN
"Los fugitivos Tris y Four buscan aliados y respuestas entre las ruinas de Chicago mientras tratan de evadir desesperadamente a Jeanine, líder de los Eruditos. Basada en la novela de Veronica Roth"
Ver Dune online
1984
136 MIN
Ésta es la saga del guerrero Intergaláctico Paul Atreides y su ascenso mesiánico para conducir a su pueblo en su lucha por la supervivencia.
Ver Dura verdad online
2012
93 MIN
"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan recuperar un maletín misterioso."
Ver Educación básica online
2008
94 MIN
"Bienvenidos a la escuela primaria Geraldine Ferraro, donde los maestros están borrachos, son perezosos o psicóticos, todos los niños están abandonados y el vicedirector agotado Tom Willoman apenas resiste. Pero cuando la inspectora del distrito Rebecca Seabrook, cierra la escuela, ella y Tom diseñan un plan para recuperar"
Ver El castillo de cristal online
2017
126 MIN
"Aventuras extravagantes de una familia resiliente y unida encabezan El castillo de cristal, una extraordinaria historia de amor incondicional."
Ver El duende 2 online
1994
85 MIN
"Hace mil años, un duende malvado se frustra al intentar atrapar a una joven novia. Ahora, en 1994 en Los Ángeles, el duende está decidido a tomar a la hermosa descendiente de la mujer como su novia y dejará un rastro de carnicería haciéndolo."
Ver El Karate Kid online
1984
126 MIN
"Un adolescente aprende sobre la vida, la amistad y el coraje bajo la guía de un maestro de artes marciales."
Ver El legado online
2018
102 MIN
"Un exconvicto recientemente liberado y su hermano menor, adoptivo, se ven obligados a huir. Al ser perseguidos por un criminal vengativo, los federales y un grupo de soldados de otro mundo, encontraron su única protección: un arma de ascendenciamisteriosa."
Ver El Príncipe y yo online
2004
110 MIN
"Paige es una estudiante de medicina brillante de un pueblo rural con grandes planes para su futuro. Sin embargo, estos planes quedan en un segundo plano cuando conoce a Eddie, un estudiante de Dinamarca del que se enamora."
Ver El sabotaje online
2014
109 MIN
"Un equipo de élite de la agencia antidroga norteamericana (DEA) aprovecha una operación contra un cártel para apoderarse de un botín de varios millones de dólares; poco después, alguien empieza a eliminar a los miembros del grupo para quedarse con todo el dinero."
Ver El sorprendente Hombre-Araña 2 - La amenaza de Electro online
2014
141 MIN
"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone)."
Ver El traidor online
2008
114 MIN
"Cuando el honesto agente del FBI, Roy Clayton (Guy Pearce de MEMENTO) encabeza la investigación de una peligrosa conspiración internacional, todas las pistas apuntan al exoficial de Operaciones Especiales de EE. UU., Samir Horn (Don Cheadle de CRASH)."
Ver El último cazador de brujas online
2015
106 MIN
El último cazador de brujas es la única barrera entre la humanidad y las fuerzas combinadas de las más terribles brujas de la historia.
Ver Escándalo Americano online
2013
138 MIN
Thriller político ambientado en los años 70 sobre un agente del FBI que investiga un caso en el que algunos miembros del Congreso aparecen implicados en un delito.
Ver Este Es El Fin online
2013
106 MIN
Trata sobre seis amigos atrapados en una casa después de que una serie de extraños y catastróficos acontecimientos han asolado la ciudad de Los Angeles.
Ver Extraordinario online
2017
113 MIN
"Tanto su familia como sus compañeros de clases y la comunidad en general luchan por encontrar la compasión y la aceptación, el extraordinario viaje de Auggie los unirá y les probará que no puedes mezclarte cuando naciste para sobresalir."
Ver Father Figures online
2017
112 MIN
"Dos hermanos mellizos crecieron pensando que su padre había muerto, pero descubren que está vivo y emprenden un viaje para encontrarlo. No será sencillo, ya que su madre se acostó con muchos hombres poderosos y famosos en la década de 1970."
Ver Fenómeno siniestro 2 online
2012
99 MIN
"Un año después de que un equipo de filmación pasara una noche fatal en el Hospital Psiquiátrico Collingwood, un nuevo equipo vuelve a los pasillos en busca de la verdad. Es decir, si queda alguien vivo para contarlo."
Ver Halloween 5: la venganza de Michael Myers online
1989
97 MIN
"Los ciudadanos de Haddonfield, Illinois, están a punto de soportar la venganza de Michael Myers, ya que el presunto asesino muerto ha vuelto para a matar de nuevo. Protagonizada por Donald Pleasance y Danielle Harris."
Ver Halloween II online
1981
92 MIN
"El desquiciado asesino Michael Myers regresa, y está mucho más decidido a asesinar a Laurie Strode. Mientras tanto, ella intenta descubrir la verdad de sus ansias de matarla, y finalmente descubre un secreto impactante."
Ver Halloween III: El imperio de las brujas online
1982
97 MIN
Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.
Ver Héroes online
2009
111 MIN
Dos jóvenes estadounidenses con habilidades especiales deben apurarse para encontrar a una chica en Hong Kong antes de que lo haga una sombría organización gubernamental llamada División.
Ver La cabaña online
2017
132 MIN
"A raíz de una tragedia personal, Mackenzie Allen Phillips recibe una nota misteriosa invitándolo a “La cabaña.” Mack acude y se ve envuelto en la catarsis de redescubrir la verdad sobre el amor, la esperanza, la pérdida y el perdón."
Ver La novia de mi mejor amigo online
2008
100 MIN
Tank (Dane Cook) se enfrenta a la mayor prueba de amistad posible cuando su mejor amigo (Jason Biggs) lo contrata para que llevé a su ex novia (Kate Hudson) a una pésima cita con el fin de que note lo gran novio que es él.
Ver Laws Of Attraction online
2004
90 MIN
"Dos exitosos abogados rivales de Nueva York se enamoran, a pesar de sostener una batalla en dos casos de divorcio."
Ver Llegaron juntos online
2014
83 MIN
La dueña de una tienda de dulces independiente y el empleado de una corporación que ha sido enviado a cerrar su negocio inician un extraño romance.
Ver Los ilusionistas: Nada es lo que parece online
2013
115 MIN
"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de escenario que pronto atraerán la atención del FBI."
Ver Los ilusionistas: Nada es lo que parece 2 online
2016
129 MIN
